Datetime;Spot;day_cat;wind;sun;temp;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23;d1;d2;d3;d4;t_saw1;t_saw2
2.02E+11;0.03;4;5.7;15.52;14.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;-0.333333333;-0.666666667
2.02E+11;5.75;4;5.51;25.14;13.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;-0.5;-0.5
2.02E+11;20.28;4;5.05;34.32;13.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;-0.666666667;-0.333333333
2.02E+11;43.2;4;4.44;6.65;12.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;-0.833333333;-0.166666667
2.02E+11;63.23;4;3.15;0;11.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;-1;0
2.02E+11;71.44;4;2.46;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;-0.833333333;0.166666667
2.02E+11;67.95;4;2.37;0;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;-0.666666667;0.333333333
2.02E+11;56.88;4;2.39;0;9.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;-0.5;0.5
2.02E+11;62.85;4;2.09;0;9.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-0.333333333;0.666666667
2.02E+11;48.72;4;2.54;0;8.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;-0.166666667;0.833333333
2.02E+11;53.24;1;2.59;0;8.47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2.02E+11;46.1;1;2.67;0;8.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;0.833333333
2.02E+11;45.6;1;2.22;0;7.85;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;0.666666667
2.02E+11;46.88;1;2.49;0;7.57;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0.5
2.02E+11;47.53;1;2.47;0;7.87;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;0.333333333
